condition,fold,length,id,N_20nt,N_30nt,Time
wt_15mM_salt,1,30,35,1,0,7200.0
wt_15mM_salt,1,30,36,0,0,1800.0
wt_15mM_salt,1,30,36,0,0,3600.0
wt_15mM_salt,1,30,36,0,0,5400.0
wt_15mM_salt,1,30,36,0,0,7200.0
wt_15mM_salt,1,30,37,0,0,1800.0
wt_15mM_salt,1,30,37,0,0,3600.0
wt_15mM_salt,1,30,37,0,0,5400.0
wt_15mM_salt,1,30,37,0,0,7200.0
wt_15mM_salt,1,30,38,0,0,1800.0
wt_15mM_salt,1,30,38,0,0,3600.0
wt_15mM_salt,1,30,38,0,0,5400.0
wt_15mM_salt,1,30,38,0,0,7200.0
wt_15mM_salt,1,30,39,0,0,1800.0
