time,fold,D1,size,id
2401,50,1000.0,15,27
2401,50,1000.0,11,27
2401,50,1000.0,15,27
2401,50,1000.0,1,27
1801,50,1000.0,71,28
1801,50,1000.0,57,28
1801,50,1000.0,16,28
1801,50,1000.0,9,28
1801,50,1000.0,123,28
1801,50,1000.0,20,28
1801,50,1000.0,24,28
1861,50,1000.0,56,28
1861,50,1000.0,45,28
1861,50,1000.0,9,28
1861,50,1000.0,10,28
1861,50,1000.0,19,28
1861,50,1000.0,32,28
1861,50,1000.0,18,28
1861,50,1000.0,81,28
1921,50,1000.0,40,28
1921,50,1000.0,14,28
1921,50,1000.0,1,28
1921,50,1000.0,13,28
1921,50,1000.0,4,28
1921,50,1000.0,20,28
1921,50,1000.0,24,28
1921,50,1000.0,30,28
1921,50,1000.0,36,28
1921,50,1000.0,15,28
1921,50,1000.0,3,28
2401,50,1000.0,16,28
2401,50,1000.0,10,28
2401,50,1000.0,10,28
2401,50,1000.0,14,28
2401,50,1000.0,1,28
2401,50,1000.0,2,28
2401,50,1000.0,2,28
2401,50,1000.0,8,28
2401,50,1000.0,13,28
2401,50,1000.0,22,28
2401,50,1000.0,8,28
2401,50,1000.0,2,28
2401,50,1000.0,18,28
2401,50,1000.0,4,28
1801,50,1000.0,13,29
1801,50,1000.0,94,29
1801,50,1000.0,55,29
1801,50,1000.0,40,29
1801,50,1000.0,81,29
1801,50,1000.0,77,29
1861,50,1000.0,3,29
1861,50,1000.0,33,29
1861,50,1000.0,22,29
1861,50,1000.0,39,29
1861,50,1000.0,8,29
1861,50,1000.0,28,29
1861,50,1000.0,2,29
1861,50,1000.0,7,29
1861,50,1000.0,5,29
1861,50,1000.0,12,29
1861,50,1000.0,24,29
1861,50,1000.0,7,29
1921,50,1000.0,6,29
1921,50,1000.0,13,29
1921,50,1000.0,4,29
1921,50,1000.0,7,29
1921,50,1000.0,11,29
1921,50,1000.0,3,29
1921,50,1000.0,40,29
1921,50,1000.0,23,29
1921,50,1000.0,19,29
1921,50,1000.0,5,29
1921,50,1000.0,1,29
1921,50,1000.0,7,29
1921,50,1000.0,1,29
2401,50,1000.0,2,29
2401,50,1000.0,17,29
2401,50,1000.0,10,29
2401,50,1000.0,1,29
2401,50,1000.0,4,29
2401,50,1000.0,3,29
2401,50,1000.0,4,29
2401,50,1000.0,2,29
2401,50,1000.0,18,29
2401,50,1000.0,11,29
2401,50,1000.0,3,29
2401,50,1000.0,1,29
2401,50,1000.0,6,29
2401,50,1000.0,14,29
2401,50,1000.0,4,29
1801,50,1000.0,116,30
1801,50,1000.0,43,30
1801,50,1000.0,70,30
1801,50,1000.0,39,30
1801,50,1000.0,91,30
1801,50,1000.0,1,30
1861,50,1000.0,3,30
1861,50,1000.0,32,30
1861,50,1000.0,55,30
1861,50,1000.0,52,30
1861,50,1000.0,7,30
1861,50,1000.0,63,30
1861,50,1000.0,4,30
1861,50,1000.0,44,30
1861,50,1000.0,20,30
1921,50,1000.0,1,30
1921,50,1000.0,5,30
1921,50,1000.0,3,30
1921,50,1000.0,9,30
1921,50,1000.0,27,30
1921,50,1000.0,1,30
1921,50,1000.0,13,30
1921,50,1000.0,36,30
1921,50,1000.0,19,30
1921,50,1000.0,4,30
1921,50,1000.0,15,30
1921,50,1000.0,7,30
2401,50,1000.0,5,30
2401,50,1000.0,18,30
2401,50,1000.0,3,30
2401,50,1000.0,3,30
2401,50,1000.0,13,30
2401,50,1000.0,1,30
2401,50,1000.0,6,30
2401,50,1000.0,12,30
